[2026-09-19 16:57:28] Etapa 2 iniciada
[2026-09-19 16:57:28] Configuração: 16 workers para varredura e logs
[2026-09-19 16:57:28] Fase 1/4 iniciada — varredura paralela do disco
[2026-09-19 16:57:28] Fase 1/4 | diretórios visitados=1 | arquivos encontrados=0 | assessments lidos=0
[2026-09-19 17:02:02] Fase 1/4 | diretórios visitados=16,800 | arquivos encontrados=725,659 | assessments lidos=2,025
[2026-09-19 17:02:02] Fase 1/4 | diretórios visitados=16,900 | arquivos encontrados=725,959 | assessments lidos=2,025
[2026-09-19 17:02:02] Fase 1/4 | diretórios visitados=17,000 | arquivos encontrados=726,259 | assessments lidos=2,025
[2026-09-19 17:02:02] Fase 1/4 | diretórios visitados=17,100 | arquivos encontrados=726,559 | assessments lidos=2,025
[2026-09-19 17:02:03] Fase 1/4 | diretórios visitados=17,200 | arquivos encontrados=726,859 | assessments lidos=2,025
[2026-09-19 17:02:03] Fase 1/4 | diretórios visitados=17,300 | arquivos encontrados=727,159 | assessments lidos=2,025
[2026-09-19 17:02:06] Fase 1/4 | diretórios visitados=17,400 | arquivos encontrados=731,461 | assessments lidos=2,216
[2026-09-19 17:02:08] Fase 1/4 | diretórios visitados=17,500 | arquivos encontrados=739,271 | assessments lidos=2,216
[2026-09-19 17:02:09] Fase 1/4 | diretórios visitados=17,600 | arquivos encontrados=746,548 | assessments lidos=2,216
[2026-09-19 17:02:11] Fase 1/4 | diretórios visitados=17,700 | arquivos encontrados=752,603 | assessments lidos=2,216
[2026-09-19 17:02:13] Fase 1/4 | diretórios visitados=17,800 | arquivos encontrados=758,259 | assessments lidos=2,216
[2026-09-19 17:02:15] Fase 1/4 | diretórios visitados=17,900 | arquivos encontrados=765,566 | assessments lidos=2,216
[2026-09-19 17:02:16] Fase 1/4 | diretórios visitados=18,000 | arquivos encontrados=771,599 | assessments lidos=2,216
[2026-09-19 17:02:18] Fase 1/4 | diretórios visitados=18,100 | arquivos encontrados=776,677 | assessments lidos=2,216
[2026-09-19 17:02:20] Fase 1/4 | diretórios visitados=18,200 | arquivos encontrados=783,343 | assessments lidos=2,216
[2026-09-19 17:02:22] Fase 1/4 | diretórios visitados=18,300 | arquivos encontrados=790,332 | assessments lidos=2,216
[2026-09-19 17:02:24] Fase 1/4 | diretórios visitados=18,400 | arquivos encontrados=798,175 | assessments lidos=2,216
[2026-09-19 17:02:26] Fase 1/4 | diretórios visitados=18,500 | arquivos encontrados=804,739 | assessments lidos=2,216
[2026-09-19 17:02:27] Fase 1/4 | diretórios visitados=18,600 | arquivos encontrados=810,934 | assessments lidos=2,216
[2026-09-19 17:02:29] Fase 1/4 | diretórios visitados=18,700 | arquivos encontrados=817,708 | assessments lidos=2,216
[2026-09-19 17:02:31] Fase 1/4 | diretórios visitados=18,800 | arquivos encontrados=826,136 | assessments lidos=2,216
[2026-09-19 17:02:33] Fase 1/4 | diretórios visitados=18,900 | arquivos encontrados=832,398 | assessments lidos=2,216
[2026-09-19 17:02:34] Fase 1/4 | diretórios visitados=19,000 | arquivos encontrados=836,871 | assessments lidos=2,216
[2026-09-19 17:02:37] Fase 1/4 | diretórios visitados=19,100 | arquivos encontrados=847,248 | assessments lidos=2,216
[2026-09-19 17:02:38] Fase 1/4 | diretórios visitados=19,200 | arquivos encontrados=852,117 | assessments lidos=2,216
[2026-09-19 17:02:39] Fase 1/4 | diretórios visitados=19,300 | arquivos encontrados=858,362 | assessments lidos=2,216
[2026-09-19 17:02:41] Fase 1/4 | diretórios visitados=19,400 | arquivos encontrados=865,027 | assessments lidos=2,216
[2026-09-19 17:02:42] Fase 1/4 | diretórios visitados=19,500 | arquivos encontrados=871,081 | assessments lidos=2,216
[2026-09-19 17:02:43] Fase 1/4 | diretórios visitados=19,600 | arquivos encontrados=877,212 | assessments lidos=2,216
[2026-09-19 17:02:48] Fase 1/4 | diretórios visitados=19,700 | arquivos encontrados=884,544 | assessments lidos=2,216
[2026-09-19 17:02:49] Fase 1/4 | diretórios visitados=19,800 | arquivos encontrados=889,121 | assessments lidos=2,216
[2026-09-19 17:02:50] Fase 1/4 | diretórios visitados=19,900 | arquivos encontrados=895,280 | assessments lidos=2,216
[2026-09-19 17:02:52] Fase 1/4 | diretórios visitados=20,000 | arquivos encontrados=901,636 | assessments lidos=2,216
[2026-09-19 17:02:53] Fase 1/4 | diretórios visitados=20,100 | arquivos encontrados=908,458 | assessments lidos=2,216
[2026-09-19 17:02:54] Fase 1/4 | diretórios visitados=20,200 | arquivos encontrados=913,736 | assessments lidos=2,216
[2026-09-19 17:02:57] Fase 1/4 | diretórios visitados=20,300 | arquivos encontrados=922,995 | assessments lidos=2,216
[2026-09-19 17:02:59] Fase 1/4 | diretórios visitados=20,400 | arquivos encontrados=932,565 | assessments lidos=2,216
[2026-09-19 17:03:01] Fase 1/4 | diretórios visitados=20,500 | arquivos encontrados=941,069 | assessments lidos=2,216
[2026-09-19 17:03:03] Fase 1/4 | diretórios visitados=20,600 | arquivos encontrados=950,303 | assessments lidos=2,216
[2026-09-19 17:03:05] Fase 1/4 | diretórios visitados=20,700 | arquivos encontrados=960,099 | assessments lidos=2,216
[2026-09-19 17:03:06] Fase 1/4 | diretórios visitados=20,800 | arquivos encontrados=967,222 | assessments lidos=2,216
