questao_id,total_usuarios_responderam,usuarios_analisados,usuarios_com_misconceptions,percentual_com_misconceptions,count_A4,perc_A4,count_A5,perc_A5,count_B4,perc_B4,count_B6,perc_B6,count_B8,perc_B8,count_B9,perc_B9,count_B12,perc_B12,count_C1,perc_C1,count_C2,perc_C2,count_C3,perc_C3,count_C4,perc_C4,count_C8,perc_C8,count_D4,perc_D4,count_E2,perc_E2,count_G4,perc_G4,count_G5,perc_G5,count_H1,perc_H1,modulo,prova,assessment_title
5953,22,22,22,100.0,1,4.55,22,100.0,11,50.0,0,0.0,22,100.0,16,72.73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.55,3,13.64,0,0.0,22,100.0,3,13.64,0,0.0,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
5998,20,20,20,100.0,0,0.0,20,100.0,13,65.0,0,0.0,20,100.0,11,55.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,2,10.0,0,0.0,20,100.0,2,10.0,0,0.0,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
5999,22,22,22,100.0,3,13.64,22,100.0,16,72.73,0,0.0,22,100.0,17,77.27,0,0.0,2,9.09,0,0.0,0,0.0,0,0.0,4,18.18,2,9.09,0,0.0,22,100.0,2,9.09,1,4.55,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6000,26,26,26,100.0,5,19.23,26,100.0,16,61.54,0,0.0,26,100.0,15,57.69,0,0.0,3,11.54,0,0.0,0,0.0,0,0.0,4,15.38,3,11.54,0,0.0,26,100.0,3,11.54,1,3.85,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6002,23,23,23,100.0,3,13.04,22,95.65,14,60.87,0,0.0,23,100.0,17,73.91,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,5,21.74,0,0.0,23,100.0,5,21.74,0,0.0,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6003,20,20,20,100.0,2,10.0,20,100.0,11,55.0,0,0.0,20,100.0,15,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,15.0,0,0.0,20,100.0,4,20.0,2,10.0,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6004,20,20,20,100.0,1,5.0,20,100.0,16,80.0,0,0.0,20,100.0,15,75.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,1,5.0,1,5.0,0,0.0,20,100.0,1,5.0,1,5.0,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6007,23,23,23,100.0,2,8.7,22,95.65,15,65.22,0,0.0,21,91.3,16,69.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,13.04,5,21.74,0,0.0,23,100.0,5,21.74,1,4.35,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6008,16,16,16,100.0,1,6.25,16,100.0,10,62.5,0,0.0,16,100.0,12,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,18.75,2,12.5,0,0.0,16,100.0,2,12.5,0,0.0,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6009,19,19,19,100.0,3,15.79,18,94.74,15,78.95,0,0.0,19,100.0,9,47.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.53,4,21.05,0,0.0,19,100.0,4,21.05,1,5.26,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6010,25,25,24,96.0,3,12.0,22,88.0,16,64.0,0,0.0,22,88.0,16,64.0,0,0.0,1,4.0,0,0.0,0,0.0,0,0.0,2,8.0,2,8.0,0,0.0,24,96.0,1,4.0,1,4.0,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6011,16,16,16,100.0,1,6.25,16,100.0,12,75.0,0,0.0,16,100.0,12,75.0,0,0.0,1,6.25,0,0.0,0,0.0,0,0.0,2,12.5,1,6.25,0,0.0,16,100.0,2,12.5,1,6.25,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6012,20,20,20,100.0,3,15.0,20,100.0,12,60.0,0,0.0,20,100.0,14,70.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,3,15.0,0,0.0,20,100.0,3,15.0,1,5.0,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6013,22,22,22,100.0,3,13.64,22,100.0,15,68.18,0,0.0,21,95.45,18,81.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.55,3,13.64,0,0.0,22,100.0,3,13.64,1,4.55,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6014,17,17,17,100.0,1,5.88,17,100.0,8,47.06,0,0.0,17,100.0,10,58.82,0,0.0,3,17.65,0,0.0,0,0.0,0,0.0,2,11.76,3,17.65,0,0.0,17,100.0,4,23.53,1,5.88,introducao a ciencia dos computadores,exam,TP 02:  Est. Condicional Simples e Composta
6173,32,32,32,100.0,3,9.38,32,100.0,20,62.5,0,0.0,32,100.0,19,59.38,0,0.0,2,6.25,0,0.0,0,0.0,0,0.0,1,3.12,8,25.0,0,0.0,32,100.0,8,25.0,1,3.12,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6191,28,28,28,100.0,3,10.71,28,100.0,17,60.71,0,0.0,28,100.0,19,67.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.14,3,10.71,0,0.0,28,100.0,2,7.14,0,0.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6192,20,20,20,100.0,2,10.0,20,100.0,14,70.0,0,0.0,20,100.0,14,70.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,1,5.0,1,5.0,0,0.0,20,100.0,1,5.0,1,5.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6195,19,19,19,100.0,2,10.53,19,100.0,12,63.16,0,0.0,19,100.0,13,68.42,0,0.0,4,21.05,0,0.0,0,0.0,0,0.0,1,5.26,2,10.53,0,0.0,19,100.0,3,15.79,1,5.26,introducao a ciencia dos computadores,exam,TP Substitutivo
6196,19,19,19,100.0,5,26.32,19,100.0,14,73.68,0,0.0,19,100.0,14,73.68,0,0.0,1,5.26,0,0.0,0,0.0,0,0.0,3,15.79,1,5.26,0,0.0,19,100.0,2,10.53,1,5.26,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6197,18,18,18,100.0,0,0.0,18,100.0,12,66.67,0,0.0,18,100.0,13,72.22,0,0.0,2,11.11,0,0.0,0,0.0,0,0.0,0,0.0,5,27.78,0,0.0,18,100.0,4,22.22,0,0.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6198,25,25,25,100.0,2,8.0,25,100.0,13,52.0,0,0.0,25,100.0,18,72.0,0,0.0,1,4.0,0,0.0,0,0.0,0,0.0,1,4.0,1,4.0,0,0.0,25,100.0,3,12.0,1,4.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6199,26,26,26,100.0,6,23.08,26,100.0,15,57.69,0,0.0,26,100.0,16,61.54,0,0.0,3,11.54,0,0.0,0,0.0,0,0.0,2,7.69,3,11.54,0,0.0,26,100.0,5,19.23,0,0.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6201,17,17,17,100.0,2,11.76,17,100.0,13,76.47,0,0.0,16,94.12,10,58.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,17.65,5,29.41,0,0.0,17,100.0,5,29.41,2,11.76,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6203,18,18,18,100.0,1,5.56,18,100.0,13,72.22,0,0.0,18,100.0,14,77.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,16.67,1,5.56,0,0.0,18,100.0,1,5.56,0,0.0,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6204,17,17,17,100.0,1,5.88,17,100.0,13,76.47,0,0.0,17,100.0,12,70.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.76,1,5.88,0,0.0,17,100.0,2,11.76,1,5.88,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
6206,16,16,16,100.0,1,6.25,16,100.0,9,56.25,0,0.0,16,100.0,10,62.5,0,0.0,1,6.25,0,0.0,0,0.0,0,0.0,2,12.5,1,6.25,0,0.0,16,100.0,3,18.75,1,6.25,introducao a ciencia dos computadores,exam,TP 4: Estrutura de Repetição por Condição
