pc,term,OR,ci_lo,ci_hi,p,beta,se,var_student,var_question,icc_student,icc_question,N,positives,prevalence,n_students,n_questions,max_vif,p_fdr
B4,(intercept),0.07448675310830676,0.05181189813519263,0.10708498604202352,1.1268990474421433e-44,-2.5971339800335618,0.18520483792301853,0.2806336124909272,1.8873934954338971,0.05141791845890478,0.34580976949518066,2103,217,0.10318592486923443,1406,82,3.481849044046068,
B4,testes,0.8148804675250714,0.5953528412434916,1.1153556854905462,0.2011468937804004,-0.20471384211113652,0.16014652887415717,0.2806336124909272,1.8873934954338971,0.05141791845890478,0.34580976949518066,2103,217,0.10318592486923443,1406,82,3.481849044046068,0.5378889327087236
B4,alteracoes,1.0935903579053987,0.8064705734252573,1.4829305746696237,0.5647692301666205,0.08946618955021796,0.15538472367154324,0.2806336124909272,1.8873934954338971,0.05141791845890478,0.34580976949518066,2103,217,0.10318592486923443,1406,82,3.481849044046068,0.8471538452499308
B4,erros_logica,1.0758285793401263,0.8683736691319299,1.3328445728691851,0.5036665010044437,0.07309113616702409,0.10929811159862858,0.2806336124909272,1.8873934954338971,0.05141791845890478,0.34580976949518066,2103,217,0.10318592486923443,1406,82,3.481849044046068,0.8168439670221308
B4,erros_sintaxe,1.0925704998407124,0.9182555219005304,1.299976170741168,0.318112292003197,0.08853317665223658,0.0886799782898738,0.2806336124909272,1.8873934954338971,0.05141791845890478,0.34580976949518066,2103,217,0.10318592486923443,1406,82,3.481849044046068,0.6479286160455402
B4,tempo,1.1173255303636986,0.7853035208307229,1.5897246194463766,0.5374779635082909,0.11093791036263288,0.17990964058812353,0.2806336124909272,1.8873934954338971,0.05141791845890478,0.34580976949518066,2103,217,0.10318592486923443,1406,82,3.481849044046068,0.8322239434967085
B4,delecoes,1.4944401517893335,1.0661178707951244,2.0948446963134235,0.0197237407767087,0.401751656298879,0.17231008351501356,0.2806336124909272,1.8873934954338971,0.05141791845890478,0.34580976949518066,2103,217,0.10318592486923443,1406,82,3.481849044046068,0.18934791145640353
A2,(intercept),0.0034586118605612684,0.0025148544249843463,0.00475653615699427,3.3964210629975484e-266,-5.666887966782875,0.16257775154736198,0.2987631051158703,3.0584213437647474,0.04494670403224634,0.4601169173509071,13797,139,0.010074653910270348,2514,617,3.263054469491074,
A2,testes,0.8472298831783929,0.5959829904730222,1.2043942300782242,0.3556211529820289,-0.16578321244355643,0.1794693568139206,0.2987631051158703,3.0584213437647474,0.04494670403224634,0.4601169173509071,13797,139,0.010074653910270348,2514,617,3.263054469491074,0.6565313593514379
A2,alteracoes,1.4268298401501058,1.0069153220978473,2.0218615687575587,0.04563524157296005,0.3554550883223857,0.17783855479534394,0.2987631051158703,3.0584213437647474,0.04494670403224634,0.4601169173509071,13797,139,0.010074653910270348,2514,617,3.263054469491074,0.31292737078601174
A2,erros_logica,1.1373829827198016,0.9001094900008435,1.437202988915693,0.28085763554954046,0.12872999421700654,0.11937186822335569,0.2987631051158703,3.0584213437647474,0.04494670403224634,0.4601169173509071,13797,139,0.010074653910270348,2514,617,3.263054469491074,0.6419603098275211
A2,erros_sintaxe,0.7784298647577759,0.615392118978595,0.984661706998373,0.036715953075597045,-0.25047638199410055,0.11990777577638852,0.2987631051158703,3.0584213437647474,0.04494670403224634,0.4601169173509071,13797,139,0.010074653910270348,2514,617,3.263054469491074,0.27113319194287044
A2,tempo,0.9744879199309531,0.6808736165628144,1.3947180254762408,0.887651607955203,-0.025843156282772773,0.1829262341069,0.2987631051158703,3.0584213437647474,0.04494670403224634,0.4601169173509071,13797,139,0.010074653910270348,2514,617,3.263054469491074,0.960904157200634
A2,delecoes,0.8359515807799136,0.5855236140869037,1.1934873822265994,0.3239643080227701,-0.1791845853021079,0.18166539794203518,0.2987631051158703,3.0584213437647474,0.04494670403224634,0.4601169173509071,13797,139,0.010074653910270348,2514,617,3.263054469491074,0.6479286160455402
H1,(intercept),0.006759716015383689,0.0053673040098158025,0.008513354288311101,0.0,-4.9967743993683165,0.11768119579074941,0.44702268902780007,0.41663917256256355,0.10762476484702298,0.10030965781764942,13797,119,0.008625063419583967,2514,617,3.263054469491074,
H1,testes,1.247636748052011,0.8883268685541966,1.7522800561275935,0.20170834976577134,0.2212511603129208,0.17329932082378705,0.44702268902780007,0.41663917256256355,0.10762476484702298,0.10030965781764942,13797,119,0.008625063419583967,2514,617,3.263054469491074,0.5378889327087236
H1,alteracoes,0.9036633099607931,0.624020791418287,1.3086220667636645,0.5918120092194515,-0.10129843269836238,0.18891487698410397,0.44702268902780007,0.41663917256256355,0.10762476484702298,0.10030965781764942,13797,119,0.008625063419583967,2514,617,3.263054469491074,0.856170899080574
H1,erros_logica,0.9987414018553856,0.8208716973979125,1.2151526126945225,0.9899583926068595,-0.0012593908444560086,0.10006585046175258,0.44702268902780007,0.41663917256256355,0.10762476484702298,0.10030965781764942,13797,119,0.008625063419583967,2514,617,3.263054469491074,0.9899583926068595
H1,erros_sintaxe,0.9092209890311267,0.7583489870665235,1.0901086715926769,0.3039431332256043,-0.09516710210618759,0.09257372045231214,0.44702268902780007,0.41663917256256355,0.10762476484702298,0.10030965781764942,13797,119,0.008625063419583967,2514,617,3.263054469491074,0.6479286160455402
H1,tempo,1.6301287513035068,1.1245435353102993,2.3630207834444463,0.00989046901397896,0.4886590002290001,0.1894294863779599,0.44702268902780007,0.41663917256256355,0.10762476484702298,0.10030965781764942,13797,119,0.008625063419583967,2514,617,3.263054469491074,0.11868562816774751
H1,delecoes,1.1800135100478317,0.830810568730693,1.6759920206874024,0.3551626095876407,0.16552588760510964,0.17902007832503958,0.44702268902780007,0.41663917256256355,0.10762476484702298,0.10030965781764942,13797,119,0.008625063419583967,2514,617,3.263054469491074,0.6565313593514379
E1,(intercept),0.0017258186236842013,0.0011217188261755738,0.0026552553566476724,3.473972232849298e-184,-6.362053776614302,0.2198159832803197,0.28146989841846953,3.7872907533565785,0.03825031899614087,0.5146734349249973,13797,106,0.007682829600637819,2514,617,3.263054469491074,
E1,testes,0.6996072493089305,0.48827477237248,1.0024075192486726,0.0515473155208373,-0.35723617381457434,0.18349020389379822,0.28146989841846953,3.7872907533565785,0.03825031899614087,0.5146734349249973,13797,106,0.007682829600637819,2514,617,3.263054469491074,0.32990281933335874
E1,alteracoes,1.2673434684192504,0.9112762702297836,1.7625384522960672,0.15916216869140376,0.23692295254073,0.16828169379139873,0.28146989841846953,3.7872907533565785,0.03825031899614087,0.5146734349249973,13797,106,0.007682829600637819,2514,617,3.263054469491074,0.5155452567276168
E1,erros_logica,0.9414963694764997,0.7394713880333612,1.1987149578496459,0.624702135689754,-0.060284786998047436,0.12323209262452753,0.28146989841846953,3.7872907533565785,0.03825031899614087,0.5146734349249973,13797,106,0.007682829600637819,2514,617,3.263054469491074,0.8691507974813968
E1,erros_sintaxe,0.9538002390758473,0.7718928050901326,1.1785767273150258,0.6612991000623382,-0.04730102246188246,0.10796355594219925,0.28146989841846953,3.7872907533565785,0.03825031899614087,0.5146734349249973,13797,106,0.007682829600637819,2514,617,3.263054469491074,0.8941508958589361
E1,tempo,1.404968004206066,0.8897767754859836,2.218461019916642,0.14459013967132472,0.34001452971933427,0.23306081198728845,0.28146989841846953,3.7872907533565785,0.03825031899614087,0.5146734349249973,13797,106,0.007682829600637819,2514,617,3.263054469491074,0.5140982743869323
E1,delecoes,1.3980512491875545,0.955259554268781,2.0460902867922863,0.08462849688830992,0.3350793020721387,0.19431198618655238,0.28146989841846953,3.7872907533565785,0.03825031899614087,0.5146734349249973,13797,106,0.007682829600637819,2514,617,3.263054469491074,0.3546440935168776
B11,(intercept),0.001092806842165523,0.0006428156804025732,0.0018578059476331995,5.5999433376158345e-140,-6.819005808034916,0.2707381237029817,0.3435925415747403,2.7268239311085782,0.054021567089953024,0.4287267158412062,13797,32,0.0023193447850982096,2514,617,3.263054469491074,
B11,testes,0.9765933694383669,0.4953723180469201,1.925288463818941,0.9454728470892746,-0.02368491681202348,0.34630649217331433,0.3435925415747403,2.7268239311085782,0.054021567089953024,0.4287267158412062,13797,32,0.0023193447850982096,2514,617,3.263054469491074,0.9865803621801126
B11,alteracoes,1.7574980403600635,0.8379070332442352,3.686327049804262,0.1356836819066951,0.5638912296864502,0.37792824142348713,0.3435925415747403,2.7268239311085782,0.054021567089953024,0.4287267158412062,13797,32,0.0023193447850982096,2514,617,3.263054469491074,0.513500402833473
