question,taxa_acerto,num_submissoes,taxa_aceitacao,num_testes,num_consultas,num_erros_lgcs,num_errors_stx,num_erros,num_eventos,num_eventos_del,tempo_implementacao,qtd_alteracoes_codigo
1291,0.8260869565217391,7.0,0.11801242236024845,15.152173913043478,22.152173913043477,4.173913043478261,2.0,6.173913043478261,1092.5217391304348,129.3695652173913,992.296078947368,638.0652173913044
1196,0.7391304347826086,9.478260869565217,0.0779816513761468,20.47826086956522,29.956521739130434,5.913043478260869,2.8260869565217392,8.73913043478261,906.4347826086956,102.8695652173913,833.3993529411757,982.304347826087
1213,0.8823529411764706,6.235294117647059,0.14150943396226415,10.470588235294118,16.705882352941178,4.176470588235294,1.1764705882352942,5.352941176470588,398.29411764705884,51.1764705882353,362.5535999999998,174.94117647058823
1260,0.631578947368421,8.947368421052632,0.07058823529411765,11.421052631578947,20.36842105263158,2.210526315789474,6.105263157894737,8.31578947368421,821.5263157894736,73.94736842105263,828.8448333333326,759.3157894736842
1210,0.7096774193548387,6.225806451612903,0.11398963730569948,9.741935483870968,15.96774193548387,4.096774193548387,1.4193548387096775,5.516129032258065,443.5806451612903,50.225806451612904,444.7944545454545,319.0
1298,0.6578947368421053,5.921052631578948,0.1111111111111111,11.605263157894736,17.526315789473685,2.6578947368421053,2.6052631578947367,5.2631578947368425,950.1315789473684,117.26315789473684,922.12932,483.3157894736842
1154,0.7727272727272727,2.8181818181818183,0.27419354838709675,15.727272727272727,18.545454545454547,0.8636363636363636,1.1818181818181819,2.0454545454545454,744.6363636363636,87.13636363636364,902.8015882352939,201.5
1197,0.5833333333333334,11.375,0.05128205128205128,16.5,27.875,7.375,3.4166666666666665,10.791666666666666,835.375,102.04166666666667,848.7540000000001,596.9166666666666
1207,0.8947368421052632,9.473684210526315,0.09444444444444444,14.157894736842104,23.63157894736842,4.052631578947368,4.526315789473684,8.578947368421053,668.1052631578947,88.47368421052632,567.4778235294115,344.5263157894737
1303,0.6875,4.625,0.14864864864864866,10.125,14.75,2.8125,1.125,3.9375,713.8125,95.0,755.5042727272722,348.375
1160,0.8,5.333333333333333,0.15,19.733333333333334,25.066666666666666,3.2666666666666666,1.2666666666666666,4.533333333333333,1162.8,141.06666666666666,398.80641666666656,649.2666666666667
1297,0.7941176470588235,3.0,0.2647058823529412,8.588235294117647,11.588235294117647,1.5,0.7058823529411765,2.2058823529411766,842.9705882352941,91.11764705882354,740.9484074074074,323.2647058823529
1159,0.72,5.16,0.13953488372093023,11.64,16.8,3.76,0.68,4.44,886.84,103.48,482.30861111111074,385.28
1268,0.46153846153846156,11.076923076923077,0.041666666666666664,21.153846153846153,32.23076923076923,4.538461538461538,6.076923076923077,10.615384615384615,1331.0,162.53846153846155,1128.5048333333325,790.6923076923077
1019,0.868421052631579,4.631578947368421,0.1875,4.631578947368421,9.263157894736842,1.4473684210526316,2.3157894736842106,3.763157894736842,673.6842105263158,90.86842105263158,390.1661515151511,273.7368421052632
1251,0.8260869565217391,7.391304347826087,0.11176470588235295,10.73913043478261,18.130434782608695,3.6956521739130435,2.869565217391304,6.565217391304348,748.9130434782609,86.43478260869566,934.0733157894737,353.5217391304348
1152,0.8387096774193549,2.5806451612903225,0.325,6.387096774193548,8.96774193548387,1.0,0.7419354838709677,1.7419354838709677,918.6451612903226,104.7741935483871,648.2272307692305,278.4516129032258
1301,0.18181818181818182,8.363636363636363,0.021739130434782608,20.727272727272727,29.09090909090909,5.545454545454546,2.6363636363636362,8.181818181818182,1082.909090909091,137.0909090909091,781.6104999999991,505.3636363636364
1209,1.0,4.529411764705882,0.22077922077922077,8.764705882352942,13.294117647058824,1.8235294117647058,1.7058823529411764,3.5294117647058822,516.0588235294117,57.05882352941177,632.0921764705878,190.8235294117647
