question,respostas,A2,A3,A4,A5,B4,B6,B8,B9,B10,B11,B12,C1,C2,C3,C4,C8,D4,E1,E2,G4,G5,H1
2125,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
2126,28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0
2127,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
2128,20,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0
2129,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
2130,23,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
2148,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
2150,19,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
2152,20,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0
2153,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2301,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
