question,respostas,A2,A3,A4,A5,B4,B6,B8,B9,B10,B11,B12,C1,C2,C3,C4,C8,D4,E1,E2,G4,G5,H1
1080,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
1081,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
1082,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
1083,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
1084,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
1085,54,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,37,0,1
1086,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
1087,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
1088,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
1089,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2
1090,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
1091,51,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
1092,52,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
1093,63,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1
1094,48,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1
1095,53,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
1096,51,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
1097,61,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1
1098,52,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
1109,49,0,1,0,0,2,0,36,11,0,2,0,0,0,0,0,0,0,1,0,23,0,0
1110,19,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0
1111,33,0,3,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,24,0,2
1112,22,0,2,0,1,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1113,39,0,1,0,0,2,0,28,5,0,0,0,0,0,0,0,0,0,1,0,19,0,0
1114,42,0,1,0,2,6,0,22,6,0,1,0,0,0,0,0,0,0,0,0,29,0,1
1115,53,0,2,0,0,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
1116,28,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
1117,25,2,3,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1
1119,63,0,2,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,15,0,59,0,0
1120,45,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,37,0,1
1122,61,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0,39,0,2
1125,42,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,36,0,0
1126,50,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,13,0,36,0,1
1127,49,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,36,0,0
1146,42,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,6,0,32,0,0
1147,40,0,0,0,0,39,0,9,0,0,0,0,0,0,0,0,0,0,11,0,35,0,0
1148,51,0,1,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,9,0,41,0,0
1149,39,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,11,0,25,0,0
1152,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1154,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
1155,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1157,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1158,16,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1159,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
1161,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
1163,18,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
1164,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
1166,16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
1167,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
1169,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
1170,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
1174,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
1175,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
1192,19,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1193,22,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1194,23,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
1196,20,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
1197,19,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
1198,16,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1200,22,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1203,16,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1204,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
